Species,AdultBodyMass_g,BasalMetRateMass_g,LitterSize,GestationLen_d,HomeRange_km2
Monodelphis_brevicaudata,79.9,93.5,6.99,NA,NA
Monodelphis_dimidiata,45.2,NA,12,NA,NA
Monodelphis_domestica,95.2,104,7.29,14.56,NA
Monodelphis_emiliae,52.9,NA,NA,NA,NA
Monodelphis_iheringi,112,NA,NA,NA,NA
Monodelphis_kunsi,11.3,NA,NA,NA,NA
Monodelphis_maraxina,NA,NA,NA,NA,NA
Monodelphis_osgoodi,112,NA,NA,NA,NA
Monodelphis_rubida,45.5,NA,NA,NA,NA
Monodelphis_scalops,767,NA,NA,NA,NA
Monodelphis_sorex,48,NA,NA,NA,NA
Monodelphis_theresa,112,NA,NA,NA,NA
Monodelphis_unistriata,55.3,NA,NA,NA,NA
Murexia_longicaudata,196,NA,NA,NA,NA
Murexia_rothschildi,54.7,NA,3.39,NA,NA
Myoictis_melas,225,NA,NA,NA,NA
Myrmecobius_fasciatus,522,440,3.99,14,0.24
Neophascogale_lorentzi,212,NA,NA,NA,NA
Ningaui_ridei,9.56,NA,5.99,13.5,NA
Ningaui_timealeyi,6.47,NA,5.69,NA,NA
Ningaui_yvonnae,9.4,11.6,6.99,NA,NA
Notoryctes_caurinus,NA,NA,NA,NA,NA
Notoryctes_typhlops,57.7,NA,0.92,NA,NA
Onychogalea_fraenata,4940,NA,1,23,0.33
Onychogalea_lunata,3500,NA,1,NA,NA
Onychogalea_unguifera,6500,NA,1,NA,NA
Ornithorhynchus_anatinus,1480,1315,1.99,12.49,0.07
Parantechinus_apicalis,73.3,NA,7.49,48.5,NA
Parantechinus_bilarni,23.5,NA,4.87,38.98,NA
Perameles_bougainville,231,NA,2,12,0.07
Perameles_eremiana,500,NA,2,NA,NA
Perameles_gunnii,903,NA,2.29,12.5,0.02
Perameles_nasuta,720,650,2.43,12.24,NA
Peroryctes_broadbenti,4800,NA,1.76,12,NA
Peroryctes_raffrayana,906,NA,1.03,NA,NA
Petauroides_volans,1260,1070,1,NA,0.01
Petaurus_abidi,278,NA,1.03,NA,NA
Petaurus_australis,571,NA,1,NA,0.36
Petaurus_breviceps,119,129,1.62,16.72,0.01
Petaurus_gracilis,362,NA,1.75,NA,NA
Petaurus_norfolcensis,230,NA,1.65,NA,0.02
Petrogale_assimilis,4650,NA,1,30.99,0.09
Petrogale_brachyotis,4030,NA,1,NA,NA
Petrogale_burbidgei,1260,NA,1,NA,NA
Petrogale_concinna,1400,NA,1,31.46,NA
Petrogale_godmani,4750,NA,NA,NA,NA
Petrogale_inornata,4570,NA,1,30.99,NA
Petrogale_lateralis,4580,NA,1,NA,NA
