Family,CName,SName,Status04,Range,Mass,Clutch,ElevRange
Phasianidae,Ring-necked Francolin,Francolinus streptophorus,1 (LC),293678,385,4.5,1200
Phasianidae,Swainson's Spurfowl,Francolinus swainsonii,1 (LC),1532560,706,6,NA
Phasianidae,Swierstra's Francolin,Francolinus swierstrai,3 (VU),68339,600,NA,700
Phasianidae,Ceylon Spurfowl,Galloperdix bica1 (LC)arata,1 (LC),61398,340,2,1500
Phasianidae,Painted Spurfowl,Galloperdix lunulata,1 (LC),1257463,270,3.5,900
Phasianidae,Red Spurfowl,Galloperdix spadicea,1 (LC),61398,369,3.5,2300
Phasianidae,Red Junglefowl,Gallus gallus,1 (LC),3506043,844,5.5,2000
Phasianidae,Sri Lanka Junglefowl,Gallus lafayetii,1 (LC),61101,965,2,2000
Phasianidae,Grey Junglefowl,Gallus sonneratii,1 (LC),992742,963,4.5,1500
Phasianidae,Green Junglefowl,Gallus varius,1 (LC),165764,620,3.5,2000
Numididae,Plumed Guineafowl,Guttera plumifera,1 (LC),767824,1050,9.5,NA
Numididae,Crested Guineafowl,Guttera pucherani,1 (LC),4047739,1149,4.5,NA
Phasianidae,Crimson-headed Partridge,Haematortyx sanguiniceps,1 (LC),155201,300,8.5,500
Phasianidae,Blood Pheasant,Ithaginis cruentus,1 (LC),1180040,560,4.5,1650
Tetraonidae,Willow Ptarmigan,Lagopus lagopus,1 (LC),25165520,601,9.5,2439
Tetraonidae,White-tailed Ptarmigan,Lagopus leucurus,1 (LC),1625974,359,5.5,4175
Tetraonidae,Rock Ptarmigan,Lagopus mutus,1 (LC),12770421,422,6.5,3000
Megapodiidae,Malleefowl,Leipoa ocellata,3 (VU),1314603,1873,9,NA
Phasianidae,Snow Partridge,Lerwa lerwa,1 (LC),1508625,581.5,3.33,2500
Phasianidae,Wattled Pheasant,Lobiophasis bulweri,3 (VU),245178,1396.7,5,1350
Phasianidae,Himalayan Monal,Lophophorus impejanus,1 (LC),633687,2050,4,2400
Phasianidae,Chinese Monal,Lophophorus lhuysii,3 (VU),179857,3008,4,1900
Phasianidae,Sclater's Monal,Lophophorus sclateri,3 (VU),258430,2500,4,1700
Phasianidae,Siamese Fireback,Lophura diardi,2 (NT),601922,1420,6,800
Phasianidae,Edwards' Pheasant,Lophura edwardsi,4 (EN),5831,1082,5.5,600
Phasianidae,Crestless Fireback,Lophura erythrophthalma,3 (VU),662496,1043,4.5,300
Phasianidae,Aceh Pheasant,Lophura hoogerwerfi,3 (VU),38000,1100,2,1400
Phasianidae,Crested Fireback,Lophura ignita,2 (NT),1250343,2175,6,1000
Phasianidae,Salvadori's Pheasant,Lophura inornata,3 (VU),39035,1100,2,1200
Phasianidae,Kalij Pheasant,Lophura leucomelanos,1 (LC),1571126,995,7.5,3126
Phasianidae,Silver Pheasant,Lophura nycthemera,1 (LC),947699,1750,6.9,1525
Phasianidae,Swinhoe's Pheasant,Lophura swinhoii,2 (NT),36080,1100,6,1700
Megapodiidae,Maleo,Macrocephalon maleo,4 (EN),91085,1547.9,17,1200
Phasianidae,Madagascar Partridge,Margaroperdix madagascarensis,1 (LC),566857,220,17.5,2700
Megapodiidae,New Guinea Scrubfowl,Megapodius affinis,1 (LC),207840,652.3,28,1800
Megapodiidae,Sula Scrubfowl,Megapodius bernsteinii,2 (NT),5241,NA,NA,450
Megapodiidae,Tabon Scrubfowl,Megapodius cumingii,1 (LC),396840,NA,NA,1750
Megapodiidae,Melanesian Scrubfowl,Megapodius eremita,1 (LC),64385,110,6.45,1500
Megapodiidae,Dusky Scrubfowl,Megapodius freycinet,1 (LC),21199,779.5,NA,450
Megapodiidae,Nicobar Scrubfowl,Megapodius nicobariensis,3 (VU),524,800,20,670
Megapodiidae,Orange-footed Scrubfowl,Megapodius reinwardt,1 (LC),932475,1025,12.5,1900
Phasianidae,Black Partridge,Melanoperdix nigra,3 (VU),894226,260,4,1200
Meleagrididae,Wild Turkey,Meleagris gallopavo,1 (LC),4264588,7400,11.5,2500
Meleagrididae,Ocellated Turkey,Meleagris ocellata,2 (NT),137177,5525,12,300
Cracidae,Salvin's Curassow,Mitu salvini,1 (LC),748434,3140,2,600
Cracidae,Crestless Curassow,Mitu tomentosa,1 (LC),1209671,2825,2,600
Cracidae,Razor-billed Curassow,Mitu tuberosa,1 (LC),4050217,3860,2.5,1340
Cracidae,Nocturnal Curassow,Nothocrax urumutum,1 (LC),1856690,1250,2,800
Numididae,Helmeted Guineafowl,Numida meleagris,1 (LC),14914043,1299,9,3000
Phasianidae,Black-fronted Wood-Quail,Odontophorus atrifrons,3 (VU),143269,304,NA,1900
Phasianidae,Stripe-faced Wood-Quail,Odontophorus balliviani,1 (LC),113708,311,NA,1000
Phasianidae,Spot-winged Wood-Quail,Odontophorus capueira,1 (LC),2478527,457,5,1600
Phasianidae,Venezuelan Wood-Quail,Odontophorus columbianus,2 (NT),75093,340,6,1300
Phasianidae,Tacarcuna Wood-Quail,Odontophorus dialeucos,3 (VU),13763,264,NA,400
Phasianidae,Rufous-fronted Wood-Quail,Odontophorus erythrops,1 (LC),184356,280,NA,1600
Phasianidae,Marbled Wood-Quail,Odontophorus gujanensis,1 (LC),4330777,300,4,1800
Phasianidae,Spotted Wood-Quail,Odontophorus guttatus,1 (LC),379558,314,NA,2900
Phasianidae,Chestnut Wood-Quail,Odontophorus hyperythrus,2 (NT),133125,392,NA,1100
Phasianidae,Black-breasted Wood-Quail,Odontophorus leucolaemus,1 (LC),54692,275,5,1050
Phasianidae,Dark-backed Wood-Quail,Odontophorus melanonotus,3 (VU),13840,322,NA,250
Phasianidae,Black-eared Wood-Quail,Odontophorus melanotis,1 (LC),215752,340,4,1600
Phasianidae,Rufous-breasted Wood-Quail,Odontophorus speciosus,1 (LC),1055669,317,NA,1700
Phasianidae,Starred Wood-Quail,Odontophorus stellatus,1 (LC),1293820,310,NA,1050
Phasianidae,Gorgeted Wood-Quail,Odontophorus strophium,5 (CR),49711,302,NA,550
Phasianidae,Himalayan Quail,Ophrysia superciliosa,5 (CR),10705,705,NA,450
Cracidae,Horned Guan,Oreophasis derbianus,4 (EN),68569,NA,2,1575
Phasianidae,Mountain Quail,Oreortyx pictus,1 (LC),570392,233,9.5,2500
Cracidae,Chaco Chachalaca,Ortalis canicollis,1 (LC),1249264,590,3.5,1000
Cracidae,Grey-headed Chachalaca,Ortalis cinereiceps,1 (LC),270440,493,3,1700
Cracidae,Colombian Chachalaca,Ortalis colombiana,1 (LC),4812723,600,2.5,2500
Cracidae,Rufous-headed Chachalaca,Ortalis erythroptera,3 (VU),111959,632,3,1850
Cracidae,Chestnut-winged Chachalaca,Ortalis garrula,1 (LC),47268,534,3,800
Cracidae,White-bellied Chachalaca,Ortalis leucogastra,1 (LC),162429,439,2.5,1500
Cracidae,Little Chachalaca,Ortalis motmot,1 (LC),1836417,500,3,1700
Cracidae,West Mexican Chachalaca,Ortalis poliocephala,1 (LC),277345,760,3,3000
Cracidae,Rufous-vented Chachalaca,Ortalis ruficauda,1 (LC),453557,625,3.5,1600
Cracidae,Buff-browed Chachalaca,Ortalis superciliaris,2 (NT),454300,NA,2.5,1000
Cracidae,Plain Chachalaca,Ortalis vetula,1 (LC),677756,584,3,1850
Cracidae,Rufous-bellied Chachalaca,Ortalis wagleri,1 (LC),185416,NA,3,1300
Cracidae,Northern Helmeted Curassow,Pauxi pauxi,3 (VU),117294,3625,2,1700
Cracidae,Southern Helmeted Curassow,Pauxi unicornis,3 (VU),172863,3850,1,750
Phasianidae,Indian Peafowl,Pavo cristatus,1 (LC),2310360,5000,4.5,2000
Phasianidae,Green Peafowl,Pavo muticus,3 (VU),759699,4425,4.5,3000
Cracidae,White-winged Guan,Penelope albipennis,5 (CR),14091,1600,3,900
Cracidae,Band-tailed Guan,Penelope argyrotis,1 (LC),365008,843,3.25,2750
Cracidae,Bearded Guan,Penelope barbata,3 (VU),110347,NA,3.25,1800
Cracidae,Red-faced Guan,Penelope dabbenei,1 (LC),19486,1230,3,700
Cracidae,Spix's Guan,Penelope jacquacu,1 (LC),5274884,1282,2,1700
Cracidae,White-browed Guan,Penelope jacucaca,4 (EN),631322,1300,3,500
Cracidae,Marail Guan,Penelope marail,1 (LC),1629129,910,2.5,500
Cracidae,Andean Guan,Penelope montagnii,1 (LC),681482,460,2,2400
Cracidae,Dusky-legged Guan,Penelope obscura,1 (LC),1577285,960,2.5,2200
